"GeoLocId","GeoLocName","GeoLocDE","GeoLocBasic","GeoLocPerfReport","Match_SO","LocSort","WixTable","SFRAId","SAC","RB","LocTypeId","Omykiss","RivId","RiverMileStart","RiverMileEnd","GeoLocDescription","GeoLocLength","StartLat","StartLon","EndLat","EndLon","CountyId","Active","OSPLC","Include","Tsoranos","Passes","RiverDivision","NewRecDate","NewRecClerk","LastUpdDate","LastUpdClerk","XXX_SecBase"
118,"Hog Slough","HSL","16","16.2","HSL",80.00,1,16.00,-1,0,1,0,6,,,"Associated with NHL and WMP.",,38.16,-121.48,,,,-1,,,,2,"Mokelumne",11/13/2012 6:52:55,"tlinton",11/13/2012 6:52:55,"tlinton",
119,"Sycamore Slough","SYCSL","16","16.3","SYCSL",90.00,1,16.00,-1,0,1,0,6,,,"Associated with NHL and WMP.",0.00,38.14,-121.49,,,,-1,,,,2,"Mokelumne",5/29/2013 6:27:14,"tlinton",5/29/2013 6:27:14,"tlinton",
120,"Cosumnes River","COS","16","16",,80.00,1,16.00,0,0,3,0,10,,,,,,,,,,-1,,,,2,"Lower Sac",6/17/2013 9:42:25,"tlinton",6/17/2013 9:42:25,"tlinton",
121,"Garcia Bend Park","GB","2","2",,64.00,1,2.00,-1,0,2,0,2,49.00,49.00,,0.00,38.47,-121.54,,,34,-1,,,,2,"Lower Sac",8/15/2013 12:40:52,"tlinton",8/15/2013 12:40:52,"tlinton",
122,"Sacramento Slough","SACSL","3","3",,99.00,1,3.00,-1,0,3,0,2,80.50,,"Muddy runoff  from rice farms along the Sutter Bypass.",,38.78,-121.63,,,51,-1,,,,2,"Lower Sac",9/17/2013 7:45:38,"tlinton",9/17/2013 7:45:38,"tlinton",
123,"Section 7.1","7.1","7","7","7.1",7.10,2,7.00,0,-1,1,0,2,270.00,271.00,"Barge Hole.",2.00,40.34,-122.19,40.34,-122.18,52,-1,,,0.00,1,"Upper Sac",8/6/2014 13:11:45,"tlinton",11/23/2015 9:26:41,"tlinton",
124,"Tisdale Boat Ramp","TIS","4","4",,99.00,2,4.00,-1,0,2,0,2,118.00,118.00,,1.00,,,,,,-1,,,0.00,1,"Upper Sac",8/13/2014 13:06:58,"tlinton",8/13/2014 13:06:58,"tlinton",
125,"Potato Slough","POT","16","16",,65.00,1,16.00,-1,0,3,0,2,,,,,,,,,,-1,,,0.00,2,"Lower Sac",11/25/2014 12:00:53,"tlinton",11/25/2014 12:00:53,"tlinton",
126,"Section 1.2","1.2","1","1.2","1.2",1.20,1,1.00,-1,0,1,0,2,-19.00,-20.00,"Benicia only.",2.00,,,,,60,-1,,,0.00,2,"Lower Sac",1/21/2015 10:32:52,"tlinton",3/15/2016 12:27:33,"tlinton",
127,"Star Bend","STB","11.1","11.1",,99.00,4,11.10,-1,0,2,0,4,418.00,418.00,,0.00,39.01,-121.58,,,58,-1,,,0.00,1,"Feather",4/20/2015 7:48:35,"tlinton",4/20/2015 7:48:35,"tlinton",
128,"River Road","RR","5","5",,99.00,,5.00,-1,0,2,0,2,193.00,193.00,"Between Scotty's and the Washout in section 5, shore angler spot",1.00,,,,,,-1,,,0.00,2,,8/4/2015 11:08:08,"ecollins",8/4/2015 11:08:08,"ecollins",
129,"Section 7.1 Shore","7.1S","7","7","7.1",7.12,2,7.00,0,-1,1,0,2,270.00,271.50,"7.1 shore.",1.00,40.34,-122.18,40.35,-122.17,52,-1,,,0.00,2,"Upper Sac",9/9/2015 10:01:34,"tlinton",12/16/2015 7:24:21,"tlinton",
130,"Section 7.1 Boat","7.1B","7","7","7.1",7.11,2,7.00,0,-1,1,0,2,270.50,271.50,"7.1 Boat.",1.00,40.34,-122.18,40.35,-122.17,52,-1,,,0.00,2,"Upper Sac",9/9/2015 10:04:11,"tlinton",12/9/2015 7:47:39,"tlinton",
131,"Section 12.0U","12.0U","12","12","12",12.02,4,12.00,0,-1,1,0,4,459.00,465.50,"Hwy 70 Bridge to Palm Ave.",6.50,39.51,-121.57,39.45,-121.63,4,-1,,,0.00,1,"Feather",9/9/2015 10:05:21,"tlinton",11/23/2015 9:28:25,"tlinton",
132,"Section 12.2D","12.2D","12","12","12.2",12.21,4,12.00,0,-1,1,0,4,441.50,455.00,"Drift section from Palm Ave. to Live Oak.",13.50,39.40,,,,4,-1,,,0.00,1,"Feather",9/9/2015 11:49:22,"tlinton",11/23/2015 9:26:12,"tlinton",
133,"Section 12.0D","12.0D","12","12","12",12.01,4,12.00,0,-1,1,0,4,459.00,455.00,"Added 9/9/2015 at the request of James Lyons.",4.00,39.45,-121.63,39.40,-121.55,4,-1,,,0.00,2,"Feather",9/9/2015 12:06:25,"tlinton",9/15/2015 9:14:20,"tlinton",
135,"Section 10.2","10.2","10.2","10.2","10.2",10.20,3,10.20,-1,0,1,-1,1,522.00,522.00,"Sailor Bar peninsula point to American River Hatchery cable corssing.",3.00,,,,,34,-1,,,0.00,2,"American",2/13/2017 14:56:24,"eferguson",12/18/2018 10:21:03,"ssimkins",
136,"Miller Park","MP","2",,,0.00,,,,,2,0,2,57.00,57.00,,1.00,,,,,,-1,,,0.00,2,,9/12/2018 10:26:10,"tlinton",9/12/2018 10:27:15,"tlinton",
137,"Sailor Bar","SB","10.2",,,0.00,,,,,2,0,1,522.00,522.00,"American River at Sailor Bar county park (North side of RM 522)",1.00,,,,,34,-1,,,0.00,2,,10/31/2018 13:42:36,"ssimkins",10/31/2018 13:44:03,"ssimkins",
138,"American River Hatchery","ARH","10.2","10.2",,0.00,,,,,2,0,1,522.00,522.00,"Access for section 10.2 at American River hatchery (South side of RM522)",1.00,,,,,34,-1,,,0.00,2,,10/31/2018 13:44:07,"ssimkins",10/31/2018 13:45:26,"ssimkins",
139,"First Street","FST","1.2","1.2",,0.00,,,,,2,0,2,-19.00,-20.00,"First street fishing access in downtown Benicia",2.00,,,,,,-1,,,0.00,2,,12/28/2018 10:17:50,"ssimkins",12/28/2018 10:19:00,"ssimkins",
